"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","11/52","138/9370",0.0797101449275362,14.363154960981,11.8137448841634,1.70836233731674e-10,1.46235816074313e-09,3.95620751799665e-10,"PIK3CA/MAP2K1/IRAK4/PIK3CB/PIK3CD/SRC/MAPK10/MAPK14/GSK3B/MAPK8/MAPK9",11
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","13/52","227/9370",0.0572687224669604,10.3193832599119,10.6179989833655,1.93468539210288e-10,1.59239489965391e-09,4.30800390954083e-10,"MTOR/EGFR/PIK3CA/CTNNB1/MAP2K1/CASP3/PIK3CB/CDK4/PIK3CD/SRC/JAK1/MAPK14/GSK3B",13
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","11/52","142/9370",0.0774647887323944,13.9585590465872,11.6234226389781,2.32896607858606e-10,1.84592126228673e-09,4.99388437903443e-10,"PIK3CA/CTNNB1/KDR/PIK3CB/PIK3CD/SRC/MAPK10/MAPK14/MAPK8/MAPK9/HSP90AA1",11
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","10/52","110/9370",0.0909090909090909,16.3811188811189,12.1217609826249,3.44138815839737e-10,2.63020380677514e-09,7.11565220721261e-10,"PIK3CA/MAP2K1/PIK3CB/CDK2/PIK3CD/MAPK10/MAPK14/MAPK8/MAPK9/HSP90AA1",10
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","10/52","112/9370",0.0892857142857143,16.0885989010989,12.0001389621777,4.11889030494432e-10,3.03945698364856e-09,8.22283000987068e-10,"CASP3/IRAK4/JAK2/PIK3CG/TYK2/MAPK10/JAK1/MAPK14/MAPK8/MAPK9",10
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","10/52","122/9370",0.0819672131147541,14.7698612862547,11.4359568588967,9.62622820364949e-10,6.86670945193663e-09,1.8576931621078e-09,"PIK3CA/MAP2K1/PIK3CB/CDK4/PIK3CD/MAPK10/MAPK14/GSK3B/MAPK8/MAPK9",10
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","9/52","94/9370",0.0957446808510638,17.2524549918167,11.8301286379814,1.79905865912287e-09,1.24193081629772e-08,3.35987185914287e-09,"MMP1/CASP3/MMP13/MAPK10/MAPK14/GSK3B/MAPK8/MAPK9/HSP90AA1",9
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","10/52","133/9370",0.075187969924812,13.5482938114517,10.8875952091075,2.25242768186106e-09,1.50631101224459e-08,4.07511587178811e-09,"EGFR/PIK3CA/MAP2K1/PIK3CB/CDK2/PIK3CD/MAPK10/MAPK14/MAPK8/MAPK9",10
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","12/52","227/9370",0.052863436123348,9.52558454761098,9.71358785602573,2.68276603484166e-09,1.73973312562459e-08,4.70660707866958e-09,"EGFR/PIK3CA/MAP2K1/ABL1/MET/PIK3CB/PIK3CD/SRC/MAPK10/MAPK14/MAPK8/MAPK9",12
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","9/52","99/9370",0.0909090909090909,16.3811188811189,11.4928879838373,2.86749195069204e-09,1.80466617748093e-08,4.88227445949095e-09,"MTOR/EGFR/PIK3CA/MAP2K1/PIK3CB/PIK3CD/MAPK10/MAPK8/MAPK9",9
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","11/52","180/9370",0.0611111111111111,11.0117521367521,10.1315414193908,2.95155683232862e-09,1.80466617748093e-08,4.88227445949095e-09,"MTOR/PIK3CA/TLR9/CASP3/IRAK4/PIK3CB/PIK3CD/JAK2/TYK2/SRC/JAK1",11
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","8/52","69/9370",0.115942028985507,20.891861761427,12.3885960941419,3.31637624216528e-09,1.9714014328427e-08,5.33335360582136e-09,"PIK3CA/MAP2K1/PIK3CB/PIK3CD/MAPK10/MAPK14/MAPK8/MAPK9",8
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","9/52","103/9370",0.087378640776699,15.7449589245706,11.2403422798246,4.08873348633578e-09,2.34438622234305e-08,6.34241230835551e-09,"PIK3CA/TLR9/IRAK4/PIK3CB/PIK3CD/MAPK10/MAPK14/MAPK8/MAPK9",9
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","8/52","71/9370",0.112676056338028,20.3033586132178,12.1963777698111,4.18448689772415e-09,2.34438622234305e-08,6.34241230835551e-09,"EGFR/CASP3/MET/SRC/MAPK10/MAPK14/MAPK8/MAPK9",8
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","10/52","142/9370",0.0704225352112676,12.6895991332611,10.485205239074,4.27247956408312e-09,2.34438622234305e-08,6.34241230835551e-09,"PIK3CA/MAP2K1/PIK3CB/PIK3CD/TYK2/MAPK10/JAK1/MAPK14/MAPK8/MAPK9",10
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","12/52","238/9370",0.0504201680672269,9.08532643826761,9.4382184336111,4.5923355585654e-09,2.39697514520243e-08,6.48468435740942e-09,"EGFR/PIK3CA/MAP2K1/KDR/ABL1/MET/PIK3CB/PIK3CD/MAPK10/MAPK8/FLT3/MAPK9",12
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","12/52","238/9370",0.0504201680672269,9.08532643826761,9.4382184336111,4.5923355585654e-09,2.39697514520243e-08,6.48468435740942e-09,"MMP1/EGFR/PIK3CA/IRAK4/PIK3CB/PIK3CD/TYK2/MAPK10/JAK1/MAPK14/MAPK8/MAPK9",12
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","8/52","73/9370",0.10958904109589,19.7471022128556,12.0118831854051,5.24273864412776e-09,2.67130016629367e-08,7.22683271746935e-09,"EGFR/PIK3CA/MAP2K1/RET/MET/PIK3CB/CDK4/PIK3CD",8
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","7/52","47/9370",0.148936170212766,26.8371522094926,13.2648599412412,5.66209584978102e-09,2.76968882337541e-08,7.49300960578689e-09,"MTOR/PIK3CA/PIK3CB/PIK3CD/MAPK10/MAPK8/MAPK9",7
